,,,,,,,
,,KAMALA HARRIS,,,DONALD J. TRUMP,,
,,Democratic,,,Republican,,
STATE,TOTAL VOTES,Votes,%,EV,Votes,%,EV
,,,,,,,
Alabama,"2,265,090","772,412",34.10%,9,"1,462,616",64.57%
Alaska,"338,177","140,026",41.41%,3,"184,458",54.54%
Arizona,"3,390,161","1,582,860",46.69%,11,"1,770,242",52.22%
Arkansas,"1,182,676","396,905",33.56%,6,"759,241",64.20%
California,"15,865,475","9,276,179",58.47%,54,"6,081,697",38.33%
Colorado,"3,192,745","1,728,159",54.13%,10,"1,377,441",43.14%
Connecticut,"1,759,010","992,053",56.40%,7,"736,918",41.89%
Delaware,"511,697","289,758",56.63%,3,"214,351",41.89%
District of Columbia,"325,869","294,185",90.28%,3,"21,076",6.47%
Florida,"10,893,752","4,683,038",42.99%,30,"6,110,125",56.09%
Georgia,"5,250,047","2,548,017",48.53%,16,"2,663,117",50.73%
Hawaii,"516,701","313,044",60.59%,4,"193,661",37.48%,
Idaho,"904,812","274,972",30.39%,,"605,246",66.89%,4
Illinois,"5,633,310","3,062,863",54.37%,19,"2,449,079",43.47%,
Indiana,"2,936,677","1,163,603",39.62%,11,"1,720,347",58.58%
Iowa,"1,663,506","707,278",42.52%,6,"927,019",55.73%
Kansas,"1,327,591","544,853",41.04%,6,"758,802",57.16%
Kentucky,"2,074,530","704,043",33.94%,8,"1,337,494",64.47%
Louisiana,"2,006,975","766,870",38.21%,8,"1,208,505",60.22%
Maine,"830,794","435,652",52.44%,2,"377,977",45.50%
CD-1,"433,356","258,863",59.73%,1,"165,214",38.12%
CD-2,"397,438","176,789",44.48%,1,"212,763",53.53%
Maryland,"3,038,334","1,902,577",62.62%,10,"1,035,550",34.08%
Massachusetts,"3,473,668","2,126,518",61.22%,11,"1,251,303",36.02%
Michigan,"5,664,186","2,736,533",48.31%,15,"2,816,636",49.73%
Minnesota,"3,253,920","1,656,979",50.92%,10,"1,519,032",46.68%
Mississippi,"1,228,008","466,668",38.00%,6,"747,744",60.89%
Missouri,"2,995,327","1,200,599",40.08%,10,"1,751,986",58.49%
Montana,"602,963","231,906",38.46%,4,"352,079",58.39%
Nebraska,"947,159","369,995",39.06%,2,"564,816",59.63%
CD-1,"318,304","136,153",42.77%,1,"177,666",55.82%
CD-2,"316,690","163,541",51.64%,1,"148,905",47.02%
CD-3,"312,165","70,301",22.52%,1,"238,245",76.32%
Nevada,"1,484,840","705,197",47.49%,,"751,205",50.59%,6
New Hampshire,"826,189","418,488",50.65%,4,"395,523",47.87%,
New Jersey,"4,272,725","2,220,713",51.97%,14,"1,968,215",46.06%,
New Mexico,"923,403","478,802",51.85%,5,"423,391",45.85%,
New York,"8,262,495","4,619,195",55.91%,28,"3,578,899",43.31%,
North Carolina,"5,699,141","2,715,375",47.65%,,"2,898,423",50.86%,16
North Dakota,"368,155","112,327",30.51%,,"246,505",66.96%,3
Ohio,"5,767,788","2,533,699",43.93%,,"3,180,116",55.14%,17
Oklahoma,"1,566,173","499,599",31.90%,,"1,036,213",66.16%,7
Oregon,"2,244,493","1,240,600",55.27%,8,"919,480",40.97%,
Pennsylvania,"7,034,206","3,423,042",48.66%,,"3,543,308",50.37%,19
Rhode Island,"513,386","285,156",55.54%,4,"214,406",41.76%,
South Carolina,"2,548,140","1,028,452",40.36%,,"1,483,747",58.23%,9
South Dakota,"428,922","146,859",34.24%,,"272,081",63.43%,3
Tennessee,"3,063,942","1,056,265",34.47%,,"1,966,865",64.19%,11
Texas,"11,388,674","4,835,250",42.46%,,"6,393,597",56.14%,40
Utah,"1,488,494","562,566",37.79%,,"883,818",59.38%,6
Vermont,"369,422","235,791",63.83%,3,"119,395",32.32%,
Virginia,"4,505,941","2,335,395",51.83%,13,"2,075,085",46.05%,
Washington,"3,924,243","2,245,849",57.23%,12,"1,530,923",39.01%,
West Virginia,"762,390","214,309",28.11%,,"533,556",69.98%,4
Wisconsin,"3,415,787","1,668,229",48.84%,,"1,697,626",49.70%,10
Wyoming,"269,048","69,527",25.84%,,"192,633",71.60%,3
,,,,,,,
Totals,"155,201,157","75,019,230",48.34%,226,"77,303,568",49.81%,312
,,,,,,,
Last update: 12/31/2024,,,,,,,
