year,state,electoral_votes,Margin of Victory,Margin of Victory text,Partisan Lean,Partisan Lean text
1980,OR,6,-9.661655,R+9.7,-0.225831,R+0.2
1980,PA,27,-7.110203,R+7.1,2.325621,D+2.3
1980,RI,4,10.469340,D+10.5,19.905165,D+19.9
1980,SC,8,-1.244796,R+1.2,8.191028,D+8.2
1980,SD,4,-28.833425,R+28.8,-19.397601,R+19.4
1980,TN,10,-0.291169,R+0.3,9.144655,D+9.1
1980,TX,26,-13.861921,R+13.9,-4.426097,R+4.4
1980,UT,4,-52.208881,R+52.2,-42.773057,R+42.8
1980,VT,3,-5.942831,R+5.9,3.492993,D+3.5
1980,VA,12,-12.724058,R+12.7,-3.288234,R+3.3
1980,WA,9,-12.342272,R+12.3,-2.906447,R+2.9
1980,WV,6,4.507974,D+4.5,13.943798,D+13.9
1980,WI,11,-4.718459,R+4.7,4.717365,D+4.7
1980,WY,3,-34.673737,R+34.7,-25.237912,R+25.2
1984,AL,9,-22.261712,R+22.3,-4.225929,R+4.2
1984,AK,3,-36.786205,R+36.8,-18.750421,R+18.8
1984,AZ,7,-33.878840,R+33.9,-15.843056,R+15.8
1984,AR,6,-22.176240,R+22.2,-4.140457,R+4.1
1984,CA,47,-16.249167,R+16.2,1.786616,D+1.8
1984,CO,8,-28.319258,R+28.3,-10.283474,R+10.3
1984,CT,8,-21.901970,R+21.9,-3.866187,R+3.9
1984,DE,3,-19.850573,R+19.9,-1.814789,R+1.8
1984,DC,3,71.655276,D+71.7,89.691060,D+89.7
1984,FL,21,-30.658334,R+30.7,-12.622551,R+12.6
1984,GA,12,-20.386993,R+20.4,-2.351210,R+2.4
1984,HI,4,-11.283743,R+11.3,6.752040,D+6.8
1984,ID,4,-45.972457,R+46.0,-27.936674,R+27.9
1984,IL,24,-12.878038,R+12.9,5.157745,D+5.2
1984,IN,12,-23.991601,R+24.0,-5.955817,R+6.0
1984,IA,8,-7.385030,R+7.4,10.650753,D+10.7
1984,KS,7,-33.674171,R+33.7,-15.638388,R+15.6
1984,KY,9,-20.605691,R+20.6,-2.569908,R+2.6
1984,LA,10,-22.598314,R+22.6,-4.562531,R+4.6
1984,ME,4,-22.053028,R+22.1,-4.017244,R+4.0
1984,MD,10,-5.488662,R+5.5,12.547122,D+12.5
1984,MA,13,-2.787000,R+2.8,15.248784,D+15.2
1984,MI,20,-18.989951,R+19.0,-0.954168,R+1.0
1984,MN,10,0.180431,D+0.2,18.216215,D+18.2
1984,MS,7,-24.459040,R+24.5,-6.423256,R+6.4
1984,MO,11,-20.049501,R+20.0,-2.013718,R+2.0
1984,MT,4,-22.297900,R+22.3,-4.262117,R+4.3
1984,NE,5,-41.740864,R+41.7,-23.705081,R+23.7
1984,NV,4,-34.350605,R+34.4,-16.314822,R+16.3
1984,NH,4,-37.722163,R+37.7,-19.686379,R+19.7
1984,NJ,16,-20.892972,R+20.9,-2.857188,R+2.9
1984,NM,5,-20.477866,R+20.5,-2.442083,R+2.4
1984,NY,36,-5.512626,R+5.5,12.523157,D+12.5
1984,NC,13,-24.004935,R+24.0,-5.969152,R+6.0
1984,ND,3,-31.040777,R+31.0,-13.004994,R+13.0
1984,OH,23,-18.695487,R+18.7,-0.659704,R+0.7
1984,OK,8,-37.943705,R+37.9,-19.907922,R+19.9
1984,OR,7,-12.166141,R+12.2,5.869643,D+5.9
1984,PA,25,-7.351891,R+7.4,10.683892,D+10.7
1984,RI,4,-3.647844,R+3.6,14.387939,D+14.4
1984,SC,8,-27.988837,R+28.0,-9.953053,R+10.0
1984,SD,3,-26.474595,R+26.5,-8.438811,R+8.4
1984,TN,11,-16.267473,R+16.3,1.768310,D+1.8
1984,TX,29,-27.496665,R+27.5,-9.460881,R+9.5
1984,UT,5,-49.826572,R+49.8,-31.790789,R+31.8
1984,VT,3,-17.110688,R+17.1,0.925096,D+0.9
1984,VA,12,-25.194223,R+25.2,-7.158439,R+7.2
1984,WA,10,-13.510942,R+13.5,4.524841,D+4.5
1984,WV,6,-10.514284,R+10.5,7.521500,D+7.5
1984,WI,11,-9.171452,R+9.2,8.864331,D+8.9
1984,WY,3,-42.266945,R+42.3,-24.231161,R+24.2
1988,AL,9,-19.301751,R+19.3,-11.740808,R+11.7
1988,AK,3,-23.319974,R+23.3,-15.759032,R+15.8
1988,AZ,7,-21.206394,R+21.2,-13.645451,R+13.6
1988,AR,6,-14.176104,R+14.2,-6.615162,R+6.6
1988,CA,47,-3.567125,R+3.6,3.993817,D+4.0
1988,CO,8,-7.776484,R+7.8,-0.215542,R+0.2
1988,CT,8,-5.103042,R+5.1,2.457900,D+2.5
1988,DE,3,-12.402207,R+12.4,-4.841265,R+4.8
1988,DC,3,68.342519,D+68.3,75.903461,D+75.9
1988,FL,21,-22.364342,R+22.4,-14.803400,R+14.8
1988,GA,12,-20.254444,R+20.3,-12.693502,R+12.7
1988,HI,4,9.518396,D+9.5,17.079338,D+17.1
1988,ID,4,-26.067810,R+26.1,-18.506867,R+18.5
1988,IL,24,-2.083714,R+2.1,5.477229,D+5.5
1988,IN,12,-20.156588,R+20.2,-12.595646,R+12.6
1988,IA,8,10.215451,D+10.2,17.776394,D+17.8
1988,KS,7,-13.233351,R+13.2,-5.672409,R+5.7
1988,KY,9,-11.637884,R+11.6,-4.076942,R+4.1
1988,LA,10,-10.210158,R+10.2,-2.649216,R+2.6
1988,ME,4,-11.451890,R+11.5,-3.890948,R+3.9
1988,MD,10,-2.908552,R+2.9,4.652390,D+4.7
1988,MA,13,7.853993,D+7.9,15.414935,D+15.4
1988,MI,20,-7.895615,R+7.9,-0.334673,R+0.3
1988,MN,10,7.017107,D+7.0,14.578049,D+14.6
1988,MS,7,-20.822692,R+20.8,-13.261750,R+13.3
1988,MO,11,-3.981124,R+4.0,3.579818,D+3.6
1988,MT,4,-5.872991,R+5.9,1.687952,D+1.7
1988,NE,5,-20.971782,R+21.0,-13.410840,R+13.4
1988,NV,4,-21.362562,R+21.4,-13.801620,R+13.8
1988,NH,4,-26.156373,R+26.2,-18.595431,R+18.6
1988,NJ,16,-13.641967,R+13.6,-6.081025,R+6.1
1988,NM,5,-4.956779,R+5.0,2.604164,D+2.6
1988,NY,36,6.430672,D+6.4,13.991614,D+14.0
1988,NC,13,-16.261988,R+16.3,-8.701046,R+8.7
1988,ND,3,-13.059231,R+13.1,-5.498288,R+5.5
1988,OH,23,-10.854917,R+10.9,-3.293975,R+3.3
1988,OK,8,-16.647140,R+16.6,-9.086197,R+9.1
1988,OR,7,4.666745,D+4.7,12.227688,D+12.2
1988,PA,25,-2.317839,R+2.3,5.243103,D+5.2
1988,RI,4,11.705246,D+11.7,19.266188,D+19.3
1988,SC,8,-23.923615,R+23.9,-16.362673,R+16.4
1988,SD,3,-6.343633,R+6.3,1.217309,D+1.2
1988,TN,11,-16.344629,R+16.3,-8.783687,R+8.8
1988,TX,29,-12.604189,R+12.6,-5.043246,R+5.0
1988,UT,5,-34.172530,R+34.2,-26.611587,R+26.6
1988,VT,3,-3.516241,R+3.5,4.044701,D+4.0
1988,VA,12,-20.503794,R+20.5,-12.942852,R+12.9
1988,WA,10,1.591259,D+1.6,9.152201,D+9.2
1988,WV,6,4.737560,D+4.7,12.298502,D+12.3
1988,WI,11,3.618120,D+3.6,11.179062,D+11.2
1988,WY,3,-22.517006,R+22.5,-14.956064,R+15.0
1992,AL,9,-6.765340,R+6.8,-12.557043,R+12.6
1992,AK,3,-9.170387,R+9.2,-14.962089,R+15.0
1992,AZ,7,-1.952689,R+2.0,-7.744392,R+7.7
1992,AR,6,17.724554,D+17.7,11.932851,D+11.9
1992,CA,47,13.391918,D+13.4,7.600216,D+7.6
1992,CO,8,4.258976,D+4.3,-1.532726,R+1.5
1992,CT,8,6.435332,D+6.4,0.643629,D+0.6
1992,DE,3,8.197293,D+8.2,2.405591,D+2.4
1992,DC,3,75.545761,D+75.5,69.754059,D+69.8
1992,FL,21,-1.912375,R+1.9,-7.704078,R+7.7
1992,GA,12,0.590832,D+0.6,-5.200870,R+5.2
1992,HI,4,11.395712,D+11.4,5.604009,D+5.6
1992,ID,4,-13.613378,R+13.6,-19.405080,R+19.4
1992,IL,24,14.242211,D+14.2,8.450508,D+8.5
1992,IN,12,-6.112874,R+6.1,-11.904577,R+11.9
1992,IA,8,6.013700,D+6.0,0.221997,D+0.2
1992,KS,7,-5.143030,R+5.1,-10.934733,R+10.9
